name,ELO_x,prevdate,Best_Rating_to_Date,Avg_Elo_of_opponets,frFX,id
James Giboo,1066.05,12/14/2013 0:43,1287.14,1037.18,19,f74e037b97917027
Anthony Torres,1065.55,8/9/2013 1:40,1180.34,1101.04,9,918d9d89d4d52acc
Claudio Silva,1065.14,8/17/2008 2:38,1125.86,1033.97,8,6f7c616b98e18c29
Kristian Rothaermel,1064.89,6/28/2006 0:28,1147.18,1138.76,8,af49a6c491ca22a3
Vik Grujic,1064.16,1/28/2017 1:40,1195.95,1133.11,17,1e7483dbff40b84b
Alex Chambers,1064.11,9/22/2018 0:00,1166.25,1173.92,11,26b63bc5c0c1f65d
Jason Gilliam,1063.41,1/30/2016 2:52,1359.1,1116.35,23,91720876db0ee468
Kimo Leopoldo,1063.09,10/6/2006 2:24,1278.46,1126.68,18,08ae5cd9aef7ddd3
Diego Saraiva,1062.84,3/12/2016 2:09,1374.58,1156.5,43,4f4dac51adc1af4f
Karl Reed,1061.66,5/26/2018 2:52,1061.66,1047.63,3,11337d069261bf3a
Lisa Ellis,1060.72,11/4/2016 0:57,1326.19,1133.84,31,77350fd0e6d1dba8
Ashley Yoder,1059.91,3/3/2018 1:40,1147.08,1081.46,16,b4c6c904a9ffc5e8
Allen Berube,1059.09,7/24/2010 2:24,1084.01,1093.18,8,aebfb84d1f6d2d8c
Jeimeson Saudino,1058.08,6/26/2015 1:40,1241.5,1063.95,13,f6f9d41669dd3eaa
Ian Butler,1055.61,4/5/2018 0:14,1075.74,1015.55,9,6b8fd98eb52363d1
Leigh Remedios,1054.73,5/18/2013 0:14,1237.34,1062.97,30,918db42c3637916f
Shana Dobson,1054.54,4/14/2018 1:12,1092.19,1120.46,6,122ac9b816d8b71c
Austen Lane,1054.28,6/12/2018 0:43,1100,1059.93,3,be9bdec19b7e9ffe
Izabela Badurek,1053.43,6/16/2018 2:24,1136.86,1027.29,12,4fcf6e0c4e0e6664
Ray Sefo,1053.22,8/10/2013 1:26,1113.05,1164.61,4,646d5dbe509accd4
Akira Shoji,1052.74,4/22/2011 2:09,1282.63,1174.32,36,b0c95dc8e858452c
Chris Manuel,1052.39,3/19/2016 2:52,1211.52,1108.98,18,a23e63184c65f5b8
Icho Larenas,1052.07,5/4/2018 2:24,1135.36,1094.01,12,49efbdc6c9f650c4
Gary Frazier,1052.03,6/11/2016 0:57,1095.13,1037.77,7,3beeeafcbc8b4cbc
Houston Alexander,1051.85,12/9/2017 0:00,1306.79,1140.49,40,0541480fbf719d86
Isaiah Hill,1051.76,1/29/2011 1:55,1149.57,1113.45,13,86b30a86664cb6e4
Won Jin Eoh,1051.38,2/16/2007 1:26,1176.41,1126.01,11,bc7cf284c1c2f16e
Justin McElfresh,1050.77,4/17/2009 1:26,1157.89,1053.18,12,49c29e57d4e2be6f
Muhsin Corbbrey,1050.27,7/14/2018 0:57,1246.6,1121.66,25,1f9344211ca7fd60
Scott Carson,1048.08,1/29/2011 2:38,1156.5,1026.38,6,1e3302f9ab6f549a
Curtis Stout,1047.2,5/18/2007 1:55,1279.98,1166.14,24,e09dbbd5fe3f0fe2
Jeremiah Constant,1046.35,12/9/2016 0:00,1194.58,1083.45,21,18f5669a92e99d92
Joe Camacho,1045.7,11/2/2013 0:28,1232.26,1136.69,35,dfb965c9824425db
Bec Rawlings,1045.47,4/7/2018 0:28,1193.3,1162.53,16,907e60fd13407e1e
Mike Seal,1045.28,5/25/2012 0:28,1179.09,1103.8,30,0c01568b1ac77bff
Ikuhisa Minowa,1044.3,9/23/2017 2:38,1397.12,1109.88,111,ce6065baef021cf3
Gokhan Saki,1041.49,7/7/2018 1:40,1062.03,1260.96,3,4690d47bf725fd98
Wataru Sakata,1041.23,12/31/2016 0:57,1161.5,1103.34,25,d7907a9a968e4d29
Roberto Traven,1040.7,6/13/2009 2:38,1241.3,1094.16,11,20ec0061400178ca
Brooke Mayo,1040.05,9/23/2017 1:40,1161.2,1032.06,8,1b41c21d947d6f2f
Luke Caudillo,1040.04,6/29/2012 2:24,1289.55,1109.44,34,68d76fd9ecf7431d
John Polakowski,1040,12/13/2008 0:14,1123.11,1098.16,6,b18fb36a4aa00093
Aaron Brink,1039.79,3/31/2018 3:21,1276.44,1104.64,56,cf1a88371c8cb690
Xavier Siller,1038.6,6/29/2018 1:26,1223.04,1077.35,14,9a08c2753184ac6d
Zach Light,1036.67,8/5/2011 0:14,1091.49,1091.55,20,5d7c18191b8aa432
Eddie Ruiz,1036.61,6/6/2003 1:26,1050,1187.18,2,7b9aa973e5c04624
David Kaplan,1035.77,7/9/2010 0:57,1260.4,1080.27,13,5669b828e7e11329
Eduardo Bustillos,1035.54,3/2/2018 1:12,1157.57,1080.14,9,f273f1b8df04c8a1
Mike Cook,1035.39,4/22/2017 2:52,1178.33,1104.08,26,3ab0df1ddd5f1dc2
Adam Cella,1033.41,9/7/2018 0:00,1193.59,1087.34,20,b27b8881d7444114
Gilles Arsene,1031.76,11/24/2002 2:09,1050,1155.33,2,2dea80c069847321
Rodrigo Ruas,1030.14,3/29/2008 0:28,1128.47,1113.76,11,94070f6544c4b2a5
James Gray,1029.91,9/16/2004 3:07,1084.08,996.8,3,2db65fc038c0018e
Jose Palacios,1029.46,11/21/2008 0:28,1136.72,1044.02,5,de20ffb3fc2e7629
Eric Esch,1029.01,10/21/2011 2:09,1286.79,1077.39,26,0e4daed84a8f39a6
Daniel Gracie,1028.28,10/15/2011 1:12,1126.03,1127.55,8,82d6a9ae41aac3f7
Craig Zellner,1027.87,2/22/2008 1:40,1124.47,1046.19,7,3794e5e0bb0defb6
Rubens Xavier,1025.22,12/9/2006 1:26,1168.19,1020.7,8,e6dac752a2418a88
Olaf Alfonso,1024.27,6/19/2014 2:24,1151.92,1141.51,20,b757c73f443d4fca
Billy Giovanella,1024.23,5/4/2018 1:12,1251.89,1051.09,23,c1ea31a904fe08a9
Chris Indich,1024.08,3/5/2016 3:21,1186.88,1077.27,11,d5b7fac960e58920
Keigo Kunihara,1023.77,10/7/2005 0:28,1085.88,984.45,5,782a2a17d3e38fdf
Yukio Sakaguchi,1023.28,9/29/2013 0:14,1075.58,1085.39,13,94a5aaf573f780ad
Kazuhiro Hamanaka,1023.24,10/25/2009 2:24,1097.19,1145.9,12,1b4d6971bb18b82c
Katsuaki Furuki,1022.63,4/22/2011 0:57,1022.63,1060.7,2,c3e2eca94b2320bc
Marcos Bonilla,1022.63,9/15/2017 0:14,1170.53,1068.92,12,d311fbefff44a39b
Andrei Kopylov,1021.83,8/7/2010 2:09,1073.23,1127.9,17,dd39f1ca787a3d9d
Nobuhiko Takada,1021.5,11/24/2002 1:55,1086.93,1235.37,10,a25b71fe5e31fa97
Jason Von Flue,1021.44,7/23/2009 2:24,1257.46,1108.07,29,c4b9296214f4c09c
Brady Fink,1021.38,3/31/2007 1:26,1066.7,1145.91,5,997b4f52f76a0b53
Joe Duffy,1020.99,8/28/2010 0:57,1020.99,1052.75,2,654ae722109a0d31
Nolan Ticman,1020.75,5/16/2015 0:14,1106.4,1034.82,7,9eb069062a0cfc13
Colin Robinson,1019.9,3/1/2014 3:07,1208.92,1111.56,22,1a1a4d7a29041d77
Masanori Tonooka,1018.45,9/23/2008 2:09,1026.87,1207.94,3,9de7c97e1c0d7927
Yan Pellerin,1018.38,6/16/2017 2:24,1176.54,1082.1,24,bfe95ec546692b13
Justin Levens,1017.68,10/18/2007 2:38,1246.82,1131.11,17,8c3f3c43c8ceb778
Takahiro Oba,1016.31,8/18/2006 0:28,1084.48,1060.13,13,7139cd2ae4bf6a29
Angela Magana,1015.9,8/12/2018 0:00,1255.22,1130.38,22,bd878a638e0e3be3
Jesse Fujarczyk,1014.81,10/7/2006 0:28,1092.85,1001.63,5,c3c38c86f5ab9b5c
Alex Dunworth,1014.43,7/17/2015 1:40,1069.84,959.91,5,31732a614e7a3d1d
Kazuki Okubo,1013.58,1/28/2006 0:57,1092.85,1095.45,16,33454ad90754cb49
Chris Herrera,1013.35,1/26/2018 0:43,1129.23,1074.77,8,f71028a6e5128856
Brian Schwartz,1013.2,11/21/2008 2:24,1013.2,1021.97,2,99c80d2bd5dbe5a9
Brian Houston,1012.38,4/1/2016 1:12,1224.22,1151.91,13,36fbaa49a09ff997
Jessamyn Duke,1012.36,7/29/2016 1:12,1225.69,1104.43,18,a7ddae0be8b78147
Maria Rios,1011.76,8/28/2015 0:43,1144.4,1055.36,9,9ec12134b1515f12
Joao Paulo Faria,1011.68,11/15/2014 1:40,1011.68,1016.35,2,04e9955f33e0c267
Rick Roufus,1011.57,5/9/2009 2:09,1130.05,1140.45,10,872b018076f831b0
Amilcar Alves,1011.22,6/9/2018 2:38,1341.22,1173.73,29,dc5a6b2fdb27e7dc
Karine Gevorgyan,1010.83,12/1/2017 0:43,1107,1116.22,7,2db0c114414d4f06
Brian Sleeman,1009.41,6/3/2006 3:21,1166.8,1076.24,19,9db861c26b63daa8
Ken Shamrock,1009.19,2/19/2016 3:07,1424.33,1141.67,47,63b65af1c5cb02cb
Brandon Melendez,1009.18,9/28/2013 1:55,1354.78,1138.18,56,2b06b6ad5db63348
Dave Terrel,1009.15,10/7/2017 1:40,1176.08,1127.91,15,b9aa0024f295609e
Yuki Kondo,1008.47,7/27/2018 1:26,1450.09,1161.4,104,1fe7adb23b3eedfb
Mike Brown,1008.46,7/31/2010 0:00,1009.89,1007.72,3,e0b74df14f52cd15
Bubba Pugh,1007.51,11/15/2014 0:57,1068.27,1034.31,6,6cf2352cdb3de59d
Bertrand Amoussou,1007.15,5/23/2004 0:14,1007.15,1000,2,53adf5b845d91e4a
Ron Henderson,1007.1,8/26/2016 2:38,1081.5,1028.58,8,498f0d066396ec59
Greg Scott,1006.64,6/26/2015 0:14,1053.36,1067.22,7,0b235384fe23fc9c
Chris Mickle,1005.9,5/20/2016 2:52,1315.94,1126.26,55,f903967fd320da38
Humberto Brown,1005.17,4/8/2017 2:09,1095.46,1083.08,12,e9e7e1c8ff289e1b
Carter Williams,1004.21,1/18/2013 2:24,1092.82,1092.76,9,b8e2f10efb6eca85
Valentijn Overeem,1003.09,7/3/2014 0:57,1398.14,1148.96,62,20e403a1acfef130
Shungo Oyama,1003.05,12/6/2014 4:04,1293,1156,33,47b7e4e60813b7b2
Tae Hyun Lee,1003.03,6/15/2008 0:28,1012.93,1152.51,3,de99da2c0d18d34a
Wagner Campos,1002.34,7/23/2016 3:07,1242.39,1111.08,23,db6d5f691aea3fd3
Ariel Gandulla,1001.92,3/28/2015 2:38,1201.04,1121.66,17,41904fc4d3f5bffc
Gideon Ray,1001.5,12/15/2012 1:12,1306.83,1159.24,34,ea3ef6206c7907d5
Yoshihiro Takayama,999.83,3/9/2013 0:43,999.83,1252.66,5,d856a0080ac09ed7
Carlos Zevallos,999.63,9/23/2016 1:26,1038.61,1060.59,7,cbf69fa846c7e3ee
Josh Burns,998.78,11/12/2016 2:38,1219.12,1120.73,19,1e092415a7eeaf65
Mark Kerr,997.86,8/28/2009 2:38,1428.52,1160.29,27,a7b48e18ca27795d
Ronald Jhun,997.73,2/16/2013 0:57,1371.32,1155.8,53,b9e871af730f826c
Miles McDonald,997.41,9/1/2017 0:43,1048.06,989.85,6,a3f8356ace5e3eb5
Young Sam Jung,996.8,5/14/2016 0:43,1034.93,1089.35,12,13104eaed3ae96c3
Kailin Curran,996.02,11/25/2017 1:26,1209.65,1087.38,16,05b43e0ead3df345
Joey Gilbert,994.65,11/22/2003 2:09,1045.41,1084.06,5,6bb1d2b714d4b3bc
Matt Kovacs,992.43,7/21/2018 2:09,1188.33,1106.1,33,8fbcd82bf7f352bf
Christina Marks,990.86,3/24/2018 1:40,1156.42,1055.78,19,c7be22a47a58365a
Melchor Manibusan,989.77,10/6/2009 1:26,1044.71,1163.78,6,b6c6d1731ff00eeb
Ashe Bowman,988.92,1/21/2012 0:57,1202.71,1091.04,20,8a0a35e7c74bebcc
Jules Bruchez,987.42,5/13/2010 1:26,1062.85,1071.02,5,d1dcd4e96464a53d
Jimmy Ambriz,987.19,4/29/2017 2:24,1329.06,1176.71,39,c912f676692c353a
Mike Jackson,986.95,6/9/2018 2:09,986.95,1053.44,3,0641c21bec209472
Kristof Midoux,986.74,10/20/2007 2:24,1088.48,1120.1,16,5b5b9c6f6f270369
Danny Abbadi,986.39,9/20/2009 2:09,1065.42,1127.24,12,15df64c02b6b0fde
Naoki Matsushita,986.11,7/22/2012 3:21,1134.22,1071.48,40,990060b2a68a7b82
Yusuke Kawaguchi,984.71,6/30/2018 3:21,1295.33,1078.85,31,fa2320781bfe4f49
Wesley Correira,984.69,4/22/2016 2:38,1396.22,1095.87,36,4e9fb05d7e5e61b8
Chris Guillen,981.67,11/15/2013 1:40,1276.51,1137.6,29,da0f33e4255f99eb
Shunichi Shimizu,980.68,7/1/2018 2:24,1448.61,1123.22,64,10657c60ce349e0f
Courtney Buck,980.11,7/17/2015 1:55,1218.37,1066.99,23,3feed7d02711d8b7
Joe Schilling,979.45,6/26/2015 2:09,1020.5,1160.3,7,f41fad444939056b
Rocky Lee,979.02,7/7/2018 2:24,1173.83,1056.88,10,0d1c163b206e8c5f
Tyra Parker,978.84,7/19/2014 2:38,1015.07,990.76,9,64be3dc99eaa42b6
Kyosuke Sasaki,977.7,12/4/2005 1:26,1037.32,1084.71,14,23bd78c3f89bdb54
George Allen,977.04,11/9/2013 2:24,1000,1105.15,2,1e13936d708bcff7
Corey Hill,971.65,2/6/2015 1:26,1217.66,1154.3,17,abbc737317f66b81
Kaitlin Young,970.97,11/1/2014 1:40,1187.55,1110.8,17,79ff6545b0abc685
Josh Thornburg,970.77,1/18/2014 4:19,1216.73,1096.11,16,083e15da67d9b0fa
Ryuki Ueyama,970.31,6/12/2016 0:57,1250.27,1156.65,36,bcd124bcd3d5be46
Ivan Cole,969.03,3/27/2015 0:14,1124.27,1019.83,6,987b80f57190d6d0
Frank Megallon,968.05,10/7/2006 0:43,1050,1023.81,5,c0a93b52096b7682
Jan Nortje,967.9,5/26/2009 0:43,1010.44,1150.2,8,bd4389b71fdc0ce2
Shonie Carter,967.9,9/9/2017 1:40,1377.82,1127.9,93,7b6e40a73b567072
Matt Ramirez,967.09,8/12/2017 3:50,1148.75,1083.76,7,96c05ba5ab9eccaf
Michiyoshi Ohara,965.63,9/29/2002 0:14,978.26,1268.34,2,6a8a06b542e1516d
Paulo Cesar Silva,963.69,12/31/2006 1:26,1038.5,1149.48,8,55b8dc4e54fe2c59
Tim Roman,962.23,6/25/2016 1:12,1063.06,1012.03,7,3b83fec860a45ca1
Rodrigo Gripp de Sousa,960.77,8/4/2007 0:28,1100.31,1030.66,16,dde70a112e053a6c
Steve Berger,960.13,4/7/2012 0:57,1255.21,1153.01,48,21b1132949f2a9b0
Sean Lally,959.03,10/12/2018 0:00,1078.99,1009.39,11,e62ce041bb7aeb1f
Yuji Nagata,959.01,12/31/2003 1:12,961.51,1339.64,2,e49c2db95e572dc8
Bryanna Fissori,958.67,2/17/2018 0:14,1210.01,1034.23,14,5517bd590dbbe1f8
Del Hawkins,956.57,6/19/2014 1:12,1260.93,1060.23,39,885e7f70dcac0007
Eric Bedard,953.45,8/3/2018 1:12,1131.29,1081.6,14,ce05955c26c3c090
David Abbott,953.32,4/13/2013 1:40,1155.81,1131.39,25,b361180739bed4b0
John Donaldson,951.68,10/17/2015 0:43,1050,1020.57,3,1c610f900f9884ab
Alexandre Dantas,949.78,10/9/2016 1:40,990.69,1296.96,3,8dc46e9a7895ce1a
Yuki Ishikawa,949.33,12/8/2002 1:40,981.01,1183.26,2,119ebea97e914dcf
Marius Enache,949,10/23/2015 0:28,949,977.6,9,e3f443e4cbc3da8f
Daijiro Matsui,948.41,12/17/2017 0:57,1174.17,1142.9,52,cd42bbe8887bba90
Philip Preece,945.39,8/8/2009 2:09,1234.37,1058.56,24,6597b611f1c32555
Melinda Fabian,943.85,6/23/2018 0:14,1076.59,1082.78,11,8c020156779f7888
Ralph Dillon,943.13,11/10/2004 1:26,991.97,1131.36,3,b4f7a2d8ecc5e0c3
Hiromitsu Kanehara,940.86,3/9/2013 1:40,1399.45,1189.17,51,eda579d906cf0ca2
Ariel Beck,940.19,12/1/2017 0:28,1129.11,1065.74,12,b96939f2b8d88e82
Saul Elizondo,939.66,2/25/2017 1:12,1106.26,1067.11,14,e295b96f135d758a
Stefan Leko,936.6,2/20/2005 1:12,977.26,1207.54,3,d56bb6dff2ae77eb
Tadao Yasuda,936.09,12/31/2003 0:14,1048,1059.32,6,49e7e05f902479ca
Marvin Maldonado,935.08,2/27/2015 0:14,1067.66,984.83,7,e5ce754b01f922be
Josh Bennett,934.36,3/16/2012 1:26,1253.95,1056.92,36,c3ac8d0da7b05772
Ray Perales,932.42,10/30/2009 1:26,1117.5,1081.46,39,9a70f67ad2187fa3
Jonathan Santa Maria,928.81,8/11/2016 1:12,1134.38,1025.94,7,3143e5daff9e5b71
John Salgado,926.76,6/24/2017 0:14,1168.91,1102.88,13,3e36811b7bc1f6ad
Yosuke Nishijima,922.94,12/31/2007 0:28,979.84,1267.95,5,5cde96e0a1a1fffe
Bryan Pardoe,922.03,5/11/2012 1:26,1212.78,1062.61,29,56116537d71a578c
Katsuyori Shibata,921.17,8/26/2011 1:40,1090.19,1174.3,16,d4da8995fc91e7ef
Takashi Sugiura,919.57,9/28/2008 1:55,1009.13,1015.15,4,06c60fc2c8dcd7bd
Kengo Watanabe,918.56,2/17/2007 1:55,1100.3,1034.7,25,2abe38b81d68a24a
Ruben Villareal,918.3,11/23/2013 1:12,1197.56,1138.3,53,39f68882def7a507
Mal Foki,915.42,2/4/2005 1:12,1214.32,1024.78,10,fa534853eb195270
Sherman Pendergarst,910.47,2/18/2012 0:14,1183.18,1133.42,30,e670f8cc2969a789
Greg Nagy,901.12,4/16/2010 1:40,1050,998.15,4,342422bb6ced1e8d
Katsuhisa Fujii,900.96,2/28/2010 2:38,1143.56,1117.26,28,d71d968dc6ecfdaf
Joe Pearson,897.7,3/3/2017 1:12,1380.26,1087.31,78,122806b56775a53a
Jose Quinonez,897.66,11/13/2010 0:57,953.16,968.39,2,36549928f90f1d36
Mike Altman,894.65,6/17/2006 1:26,1021.47,1040.21,5,c11036da9162cb5f
Sarah Payant,894.22,11/4/2016 1:40,1071.26,1046.36,10,748d4e35f846a029
Masaaki Satake,892.86,12/31/2002 0:00,1017.1,1182.45,10,f4a031ac205ac580
Henry Miller,884.33,8/25/2013 3:21,1134.78,1104.85,23,45a2ba3ef82b9700
Yusuke Imamura,874.28,7/3/2004 1:26,1014.2,1048.84,8,2ce6541127b0e232
Charles Bennett,874.22,6/2/2018 1:12,1300.59,1132.23,71,8dc4f34c1f50d00d
Lemont Davis,874.02,6/20/2015 1:26,1092.85,1065.39,8,a993ef2dd36cea5f
Tokimitsu Ishizawa,873.37,10/25/2009 1:12,1012.79,1048.85,7,f3155a94ca420126
Carlton Jones,869.93,3/20/2008 0:57,1050,1011.76,5,f117c3e8c1aa7b9e
Kim Couture,869.07,2/28/2014 1:26,1050,1035.24,12,84c43f0d25f15b0b
Sean Salmon,863.55,4/13/2013 1:12,1348.19,1162.98,39,7c0847d3854a95f2
Bob Sapp,860.15,9/30/2018 0:00,1266.38,1129.4,32,9f3d6ddef3d3cccc
Charlene Gellner,852.37,2/6/2016 0:57,950,1039.8,4,effd0b70e6749ab2
Justin Robbins,852.26,4/13/2018 1:55,1236.57,1117.71,34,3b2485c8d5c8b580
John Doyle,845.15,12/6/2013 1:12,1228.33,1121.44,34,0509b954421bb327
Kenichi Yamamoto,838.91,3/9/2013 1:12,1102.73,1082.2,19,9f488f520ed25bbf
Doug Evans,834.62,6/3/2006 0:28,1071.74,1081.55,15,d3de4a24f7eefac8
Ross Pointon,833.34,2/9/2013 1:40,1140.91,1132.43,25,7215953cd5c6254d
Yoshihisa Yamamoto,827.04,10/27/2012 2:52,1249.84,1134.53,40,eed2b71d77d95416
Wayne Cole,798.79,1/31/2015 0:43,1238.16,1103.19,41,2eab7a6c8b0ed8cc
